"cluster_set","featset","focgene","threshold","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","AUC","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"70_7","prot_2mer","M1",0.282,0.948,0.862,0.939,0.956,0.769,0,0,0.955,0.968,0.942,0.835,0.99,0.835,0.968,0.897,0.231,0.224,0.268,0.955
"70_7","prot_ctdc","M1",0.398,0.965,0.905,0.957,0.971,0.769,0,0,0.953,0.979,0.961,0.882,0.993,0.882,0.979,0.928,0.231,0.227,0.257,0.97
"70_7","prot_ctdd","M1",0.293,0.941,0.838,0.932,0.95,0.769,0,0.002,0.899,0.905,0.952,0.851,0.971,0.851,0.905,0.877,0.231,0.209,0.246,0.928
"70_7","prot_ctdt","M1",0.415,0.941,0.836,0.932,0.95,0.769,0,0.338,0.936,0.883,0.959,0.865,0.965,0.865,0.883,0.874,0.231,0.204,0.236,0.921
"70_7","prot_ctriad","M1",0.319,0.934,0.817,0.924,0.944,0.769,0,0.364,0.87,0.869,0.954,0.851,0.96,0.851,0.869,0.86,0.231,0.201,0.236,0.912
"70_7","prot_pseaac","M1",0.432,0.93,0.799,0.919,0.939,0.769,0,0.049,0.861,0.825,0.961,0.864,0.948,0.864,0.825,0.844,0.231,0.191,0.221,0.893
"70_7","cds_compbias","NA",0.001,0.235,-0.026,0.219,0.252,0.769,1,0,0.1,0.916,0.03,0.221,0.544,0.221,0.916,0.357,0.231,0.212,0.957,0.473
"70_7","nuc_2mer","NA",0.061,0.23,-0.042,0.214,0.246,0.769,1,0,0.074,0.879,0.035,0.215,0.486,0.215,0.879,0.346,0.231,0.203,0.945,0.457
"70_7","nuc_3mer","NA",0.732,0.705,-0.1,0.688,0.722,0.769,1,0,0.027,0.01,0.915,0.033,0.754,0.033,0.01,0.015,0.231,0.002,0.068,0.462
"70_7","nuc_4mer","NA",0,0.227,-0.014,0.211,0.243,0.769,1,0,0.048,0.966,0.004,0.226,0.3,0.226,0.966,0.366,0.231,0.224,0.989,0.485
"70_7","nuc_5mer","NA",0,0.44,0.025,0.421,0.459,0.769,1,0,0.359,0.67,0.37,0.243,0.788,0.243,0.67,0.356,0.231,0.155,0.639,0.52
"70_7","nuc_6mer","NA",0.001,0.317,-0.023,0.3,0.335,0.769,1,0,0.299,0.778,0.178,0.222,0.728,0.222,0.778,0.345,0.231,0.18,0.812,0.478
"70_7","prot_2mer","NA",0,0.475,0.041,0.456,0.494,0.769,1,0,0.459,0.636,0.426,0.25,0.795,0.25,0.636,0.359,0.231,0.147,0.588,0.531
"70_7","prot_ctdc","NA",0.546,0.769,0.124,0.752,0.785,0.769,0.492,0,0.131,0.131,0.961,0.503,0.786,0.503,0.131,0.208,0.231,0.03,0.06,0.546
"70_7","prot_ctdd","NA",0.829,0.744,-0.045,0.727,0.76,0.769,0.999,0,0.073,0.002,0.967,0.015,0.763,0.015,0.002,0.003,0.231,0,0.025,0.484
"70_7","prot_ctdt","NA",0.446,0.883,0.658,0.87,0.895,0.769,0,0,0.719,0.693,0.94,0.777,0.91,0.777,0.693,0.732,0.231,0.16,0.206,0.816
"70_7","prot_ctriad","NA",0.003,0.495,-0.162,0.476,0.514,0.769,1,0,0.261,0.227,0.576,0.139,0.712,0.139,0.227,0.172,0.231,0.052,0.378,0.401
"70_7","prot_pseaac","NA",0.241,0.802,0.502,0.786,0.817,0.769,0,0,0.671,0.741,0.82,0.554,0.913,0.554,0.741,0.634,0.231,0.172,0.31,0.781
"70_7","cds_compbias","NP",0.022,0.834,0.583,0.819,0.848,0.769,0,0,0.897,0.811,0.841,0.606,0.937,0.606,0.811,0.693,0.231,0.188,0.31,0.826
"70_7","nuc_2mer","NP",0.206,0.866,0.655,0.852,0.878,0.769,0,0,0.934,0.848,0.871,0.664,0.95,0.664,0.848,0.745,0.231,0.196,0.296,0.859
"70_7","nuc_3mer","NP",0.028,0.834,0.607,0.82,0.848,0.769,0,0,0.915,0.906,0.813,0.593,0.966,0.593,0.906,0.717,0.231,0.21,0.354,0.86
"70_7","nuc_4mer","NP",0.001,0.853,0.643,0.839,0.866,0.769,0,0,0.913,0.908,0.837,0.626,0.968,0.626,0.908,0.741,0.231,0.21,0.336,0.872
"70_7","nuc_5mer","NP",0.01,0.889,0.715,0.876,0.9,0.769,0,0,0.927,0.898,0.886,0.703,0.967,0.703,0.898,0.789,0.231,0.208,0.296,0.892
"70_7","nuc_6mer","NP",0.011,0.836,0.594,0.821,0.85,0.769,0,0,0.886,0.841,0.834,0.605,0.946,0.605,0.841,0.704,0.231,0.195,0.322,0.838
"70_7","prot_2mer","NP",0.312,0.918,0.767,0.907,0.928,0.769,0,0.09,0.821,0.803,0.953,0.838,0.941,0.838,0.803,0.82,0.231,0.186,0.222,0.878
"70_7","prot_ctdc","NP",0.406,0.932,0.813,0.922,0.941,0.769,0,0.017,0.935,0.88,0.948,0.836,0.963,0.836,0.88,0.857,0.231,0.204,0.244,0.914
"70_7","prot_ctdd","NP",0.328,0.872,0.626,0.858,0.884,0.769,0,0.001,0.752,0.672,0.932,0.748,0.904,0.748,0.672,0.708,0.231,0.155,0.208,0.802
"70_7","prot_ctdt","NP",0.413,0.915,0.753,0.904,0.926,0.769,0,0,0.781,0.767,0.96,0.853,0.932,0.853,0.767,0.807,0.231,0.178,0.208,0.864
"70_7","prot_ctriad","NP",0.34,0.902,0.707,0.89,0.913,0.769,0,0,0.758,0.706,0.961,0.845,0.916,0.845,0.706,0.769,0.231,0.163,0.193,0.833
"70_7","prot_pseaac","NP",0.455,0.887,0.706,0.874,0.898,0.769,0,0,0.908,0.877,0.889,0.705,0.96,0.705,0.877,0.782,0.231,0.203,0.288,0.883
"70_7","cds_compbias","NS1",0.01,0.721,0.386,0.704,0.738,0.769,1,0,0.812,0.793,0.699,0.443,0.918,0.443,0.793,0.568,0.231,0.184,0.415,0.746
"70_7","nuc_2mer","NS1",0.251,0.897,0.717,0.885,0.908,0.769,0,0.016,0.917,0.811,0.923,0.76,0.942,0.76,0.811,0.785,0.231,0.188,0.247,0.867
"70_7","nuc_3mer","NS1",0.075,0.879,0.689,0.866,0.891,0.769,0,0,0.932,0.874,0.881,0.688,0.959,0.688,0.874,0.77,0.231,0.202,0.294,0.877
"70_7","nuc_4mer","NS1",0.001,0.745,0.401,0.728,0.762,0.769,0.998,0,0.792,0.728,0.75,0.468,0.902,0.468,0.728,0.57,0.231,0.169,0.36,0.739
"70_7","nuc_5mer","NS1",0.002,0.888,0.689,0.875,0.899,0.769,0,0.094,0.867,0.782,0.92,0.745,0.933,0.745,0.782,0.763,0.231,0.181,0.243,0.851
"70_7","nuc_6mer","NS1",0.013,0.802,0.523,0.786,0.817,0.769,0,0,0.832,0.812,0.799,0.549,0.934,0.549,0.812,0.655,0.231,0.188,0.343,0.806
"70_7","prot_2mer","NS1",0.024,0.904,0.729,0.892,0.915,0.769,0,0.492,0.864,0.783,0.941,0.799,0.935,0.799,0.783,0.791,0.231,0.181,0.227,0.862
"70_7","prot_ctdc","NS1",0.443,0.94,0.833,0.931,0.949,0.769,0,1,0.875,0.872,0.961,0.871,0.961,0.871,0.872,0.871,0.231,0.202,0.232,0.917
"70_7","prot_ctdd","NS1",0.044,0.812,0.496,0.797,0.827,0.769,0,0,0.74,0.662,0.858,0.583,0.894,0.583,0.662,0.62,0.231,0.153,0.263,0.76
"70_7","prot_ctdt","NS1",0.434,0.891,0.693,0.879,0.903,0.769,0,0.597,0.795,0.757,0.932,0.77,0.927,0.77,0.757,0.763,0.231,0.175,0.228,0.845
"70_7","prot_ctriad","NS1",0.347,0.881,0.631,0.868,0.893,0.769,0,0,0.693,0.613,0.961,0.826,0.892,0.826,0.613,0.704,0.231,0.142,0.172,0.787
"70_7","prot_pseaac","NS1",0.457,0.893,0.681,0.88,0.904,0.769,0,0,0.761,0.694,0.952,0.814,0.912,0.814,0.694,0.749,0.231,0.161,0.197,0.823
"70_7","cds_compbias","PA",0.03,0.715,0.365,0.697,0.732,0.769,1,0,0.75,0.759,0.702,0.434,0.906,0.434,0.759,0.552,0.231,0.176,0.405,0.73
"70_7","nuc_2mer","PA",0.401,0.712,0.26,0.694,0.729,0.769,1,0,0.628,0.513,0.772,0.404,0.84,0.404,0.513,0.452,0.231,0.119,0.294,0.642
"70_7","nuc_3mer","PA",0.06,0.681,0.32,0.663,0.699,0.769,1,0,0.704,0.767,0.655,0.401,0.903,0.401,0.767,0.527,0.231,0.178,0.443,0.711
"70_7","nuc_4mer","PA",0,0.371,0.025,0.353,0.39,0.769,1,0,0.427,0.806,0.24,0.242,0.804,0.242,0.806,0.372,0.231,0.187,0.77,0.523
"70_7","nuc_5mer","PA",0.002,0.6,0.212,0.581,0.619,0.769,1,0,0.682,0.746,0.556,0.336,0.879,0.336,0.746,0.463,0.231,0.173,0.514,0.651
"70_7","nuc_6mer","PA",0.008,0.608,0.064,0.589,0.626,0.769,1,0,0.536,0.408,0.668,0.27,0.789,0.27,0.408,0.325,0.231,0.094,0.349,0.538
"70_7","prot_2mer","PA",0.024,0.751,0.4,0.734,0.767,0.769,0.985,0,0.746,0.701,0.766,0.474,0.895,0.474,0.701,0.566,0.231,0.162,0.342,0.733
"70_7","prot_ctdc","PA",0.353,0.816,0.593,0.8,0.83,0.769,0,0,0.912,0.99,0.763,0.557,0.996,0.557,0.99,0.713,0.231,0.229,0.411,0.877
"70_7","prot_ctdd","PA",0.251,0.922,0.771,0.912,0.932,0.769,0,0,0.829,0.764,0.97,0.886,0.932,0.886,0.764,0.82,0.231,0.177,0.2,0.867
"70_7","prot_ctdt","PA",0.422,0.939,0.828,0.929,0.947,0.769,0,0.696,0.876,0.872,0.959,0.864,0.961,0.864,0.872,0.868,0.231,0.202,0.234,0.915
"70_7","prot_ctriad","PA",0.338,0.915,0.751,0.904,0.925,0.769,0,0,0.767,0.757,0.962,0.859,0.929,0.859,0.757,0.805,0.231,0.175,0.204,0.86
"70_7","prot_pseaac","PA",0.453,0.925,0.789,0.914,0.935,0.769,0,1,0.841,0.838,0.951,0.838,0.951,0.838,0.838,0.838,0.231,0.194,0.231,0.895
"70_7","cds_compbias","PB1",0.018,0.748,0.396,0.731,0.765,0.769,0.993,0,0.785,0.701,0.763,0.471,0.894,0.471,0.701,0.563,0.231,0.162,0.345,0.732
"70_7","nuc_2mer","PB1",0.365,0.897,0.701,0.885,0.909,0.769,0,0,0.804,0.727,0.949,0.81,0.92,0.81,0.727,0.766,0.231,0.168,0.207,0.838
"70_7","nuc_3mer","PB1",0.09,0.851,0.615,0.837,0.864,0.769,0,0,0.891,0.803,0.865,0.642,0.936,0.642,0.803,0.714,0.231,0.186,0.289,0.834
"70_7","nuc_4mer","PB1",0.001,0.788,0.475,0.772,0.804,0.769,0.008,0,0.794,0.735,0.805,0.531,0.91,0.531,0.735,0.616,0.231,0.17,0.32,0.77
"70_7","nuc_5mer","PB1",0.004,0.745,0.401,0.728,0.762,0.769,0.998,0,0.805,0.728,0.75,0.468,0.902,0.468,0.728,0.57,0.231,0.169,0.36,0.739
"70_7","nuc_6mer","PB1",0.018,0.854,0.607,0.84,0.867,0.769,0,0,0.873,0.751,0.885,0.662,0.922,0.662,0.751,0.704,0.231,0.174,0.263,0.818
"70_7","prot_2mer","PB1",0.022,0.851,0.604,0.837,0.864,0.769,0,0,0.85,0.762,0.878,0.652,0.925,0.652,0.762,0.703,0.231,0.176,0.27,0.82
"70_7","prot_ctdc","PB1",0.41,0.931,0.809,0.921,0.941,0.769,0,0.46,0.876,0.861,0.953,0.846,0.958,0.846,0.861,0.853,0.231,0.199,0.236,0.907
"70_7","prot_ctdd","PB1",0.348,0.868,0.592,0.855,0.881,0.769,0,0,0.688,0.583,0.954,0.793,0.884,0.793,0.583,0.672,0.231,0.135,0.17,0.768
"70_7","prot_ctdt","PB1",0.412,0.928,0.802,0.918,0.938,0.769,0,0.008,0.848,0.875,0.944,0.825,0.962,0.825,0.875,0.849,0.231,0.203,0.246,0.91
"70_7","prot_ctriad","PB1",0.316,0.882,0.654,0.869,0.894,0.769,0,0,0.766,0.684,0.942,0.779,0.908,0.779,0.684,0.729,0.231,0.158,0.203,0.813
"70_7","prot_pseaac","PB1",0.471,0.941,0.834,0.931,0.949,0.769,0,0.811,0.893,0.875,0.961,0.87,0.962,0.87,0.875,0.873,0.231,0.203,0.233,0.918
"70_7","cds_compbias","PB2",0.065,0.89,0.701,0.877,0.901,0.769,0,0,0.897,0.819,0.911,0.734,0.943,0.734,0.819,0.774,0.231,0.19,0.258,0.865
"70_7","nuc_2mer","PB2",0.184,0.64,0.216,0.621,0.658,0.769,1,0,0.685,0.639,0.64,0.348,0.855,0.348,0.639,0.451,0.231,0.148,0.425,0.64
"70_7","nuc_3mer","PB2",0.118,0.872,0.662,0.858,0.884,0.769,0,0,0.855,0.82,0.887,0.686,0.943,0.686,0.82,0.747,0.231,0.19,0.277,0.854
"70_7","nuc_4mer","PB2",0.001,0.794,0.494,0.778,0.809,0.769,0.001,0,0.814,0.761,0.804,0.539,0.918,0.539,0.761,0.631,0.231,0.176,0.327,0.782
"70_7","nuc_5mer","PB2",0.006,0.91,0.745,0.899,0.921,0.769,0,0.196,0.886,0.79,0.947,0.817,0.937,0.817,0.79,0.803,0.231,0.183,0.224,0.868
"70_7","nuc_6mer","PB2",0.018,0.828,0.557,0.813,0.842,0.769,0,0,0.804,0.759,0.849,0.602,0.921,0.602,0.759,0.671,0.231,0.176,0.292,0.804
"70_7","prot_2mer","PB2",0.064,0.932,0.813,0.922,0.941,0.769,0,0.001,0.945,0.888,0.945,0.829,0.966,0.829,0.888,0.858,0.231,0.206,0.248,0.917
"70_7","prot_ctdc","PB2",0.417,0.94,0.832,0.93,0.949,0.769,0,0.937,0.867,0.872,0.961,0.869,0.961,0.869,0.872,0.871,0.231,0.202,0.232,0.916
"70_7","prot_ctdd","PB2",0.107,0.883,0.698,0.87,0.895,0.769,0,0,0.923,0.872,0.886,0.698,0.958,0.698,0.872,0.776,0.231,0.202,0.289,0.879
"70_7","prot_ctdt","PB2",0.416,0.94,0.832,0.93,0.949,0.769,0,0.58,0.856,0.877,0.959,0.866,0.963,0.866,0.877,0.871,0.231,0.203,0.234,0.918
"70_7","prot_ctriad","PB2",0.225,0.903,0.737,0.892,0.914,0.769,0,0,0.899,0.838,0.923,0.766,0.95,0.766,0.838,0.801,0.231,0.194,0.253,0.881
"70_7","prot_pseaac","PB2",0.46,0.91,0.748,0.899,0.921,0.769,0,0.747,0.822,0.811,0.94,0.803,0.943,0.803,0.811,0.807,0.231,0.188,0.234,0.875
